Codigo;Acao;Tipo;Qtde. Teorica;Part. (%)
ALPA4;ALPARGATAS;PN      N1;166.362.038;0,07
ABEV3;AMBEV S/A;ON;4.394.245.879;2,47
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,102
BBDC3;BRADESCO;ON      N1;1.489.259.656;0,818
BBDC4;BRADESCO;PN      N1;5.135.772.281;3,088
BRAP4;BRADESPAR;PN      N1;250.992.819;0,226
BBAS3;BRASIL;ON      NM;2.842.247.534;3,672
BRKM5;BRASKEM;PNA     N1;265.877.867;0,237
BRFS3;BRF SA;ON      NM;835.221.269;0,839
DXCO3;DEXCO;ON      NM;302.768.240;0,104
ELET3;ELETROBRAS;ON      N1;1.945.040.784;3,503
ELET6;ELETROBRAS;PNB     N1;268.733.136;0,538
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,12
ITSA4;ITAUSA;PN      N1;5.560.910.983;2,75
ITUB4;ITAUUNIBANCO;PN      N1;4.740.126.023;7,726
LWSA3;LWSA;ON      NM;428.737.358;0,092
MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;0,206
MULT3;MULTIPLAN;ON      N2;268.505.432;0,327
PCAR3;P.ACUCAR-CBD;ON      NM;379.400.826;0,051
PETR3;PETROBRAS;ON      N2;2.150.495.108;4,204
PETR4;PETROBRAS;PN      N2;4.566.445.852;8,243
RECV3;PETRORECSA;ON      NM;275.166.463;0,274
PRIO3;PETRORIO;ON  ATZ NM;804.019.521;1,71
SUZB3;SUZANO S.A.;ON      NM;664.114.223;1,684
TAEE11;TAESA;UNT     N2;218.568.234;0,355
VIVT3;TELEF BRASIL;ON;408.343.528;0,963
VALE3;VALE;ON      NM;4.427.123.466;12,865